"","hp_ump_name","park","ParkGms","TotalParkRuns","TotalGames","TotalRuns","TotRunsGm","ParkRunsGm","ParkDiff"
"1","A.J. Johnson","SAN02",1,6,1,6,6,6,0
"2","Adam Hamari","ANA01",5,41,79,668,8.46,8.2,-0.260000000000002
"3","Adam Hamari","ARL02",1,9,79,668,8.46,9,0.539999999999999
"4","Adam Hamari","ATL02",2,10,79,668,8.46,5,-3.46
"5","Adam Hamari","BAL12",3,22,79,668,8.46,7.33,-1.13
"6","Adam Hamari","BOS07",1,11,79,668,8.46,11,2.54
"7","Adam Hamari","CHI12",3,30,79,668,8.46,10,1.54
"8","Adam Hamari","CIN09",4,36,79,668,8.46,9,0.539999999999999
"9","Adam Hamari","CLE08",3,18,79,668,8.46,6,-2.46
"10","Adam Hamari","DEN02",3,22,79,668,8.46,7.33,-1.13
"11","Adam Hamari","DET05",2,14,79,668,8.46,7,-1.46
"12","Adam Hamari","HOU03",1,10,79,668,8.46,10,1.54
"13","Adam Hamari","KAN06",2,29,79,668,8.46,14.5,6.04
"14","Adam Hamari","LOS03",2,10,79,668,8.46,5,-3.46
"15","Adam Hamari","MIA02",3,13,79,668,8.46,4.33,-4.13
"16","Adam Hamari","MIL06",4,28,79,668,8.46,7,-1.46
"17","Adam Hamari","MIN04",4,39,79,668,8.46,9.75,1.29
"18","Adam Hamari","NYC21",1,11,79,668,8.46,11,2.54
"19","Adam Hamari","OAK01",4,23,79,668,8.46,5.75,-2.71
"20","Adam Hamari","PHI13",3,30,79,668,8.46,10,1.54
"21","Adam Hamari","PHO01",2,18,79,668,8.46,9,0.539999999999999
"22","Adam Hamari","PIT08",4,43,79,668,8.46,10.75,2.29
"23","Adam Hamari","SAN02",3,36,79,668,8.46,12,3.54
"24","Adam Hamari","SEA03",1,4,79,668,8.46,4,-4.46
"25","Adam Hamari","SFO03",7,66,79,668,8.46,9.43,0.969999999999999
"26","Adam Hamari","STL10",2,12,79,668,8.46,6,-2.46
"27","Adam Hamari","STP01",5,41,79,668,8.46,8.2,-0.260000000000002
"28","Adam Hamari","TOR02",1,14,79,668,8.46,14,5.54
"29","Adam Hamari","WAS11",3,28,79,668,8.46,9.33,0.869999999999999
"30","Adrian Johnson","ANA01",6,75,192,1670,8.7,12.5,3.8
"31","Adrian Johnson","ARL02",2,28,192,1670,8.7,14,5.3
"32","Adrian Johnson","ATL02",8,56,192,1670,8.7,7,-1.7
"33","Adrian Johnson","BAL12",9,91,192,1670,8.7,10.11,1.41
"34","Adrian Johnson","BOS07",8,82,192,1670,8.7,10.25,1.55
"35","Adrian Johnson","CHI11",5,38,192,1670,8.7,7.6,-1.1
"36","Adrian Johnson","CHI12",6,67,192,1670,8.7,11.17,2.47
"37","Adrian Johnson","CIN09",9,95,192,1670,8.7,10.56,1.86
"38","Adrian Johnson","CLE08",9,68,192,1670,8.7,7.56,-1.14
"39","Adrian Johnson","DEN02",7,85,192,1670,8.7,12.14,3.44
"40","Adrian Johnson","DET05",3,24,192,1670,8.7,8,-0.699999999999999
"41","Adrian Johnson","HOU03",8,69,192,1670,8.7,8.62,-0.0800000000000001
"42","Adrian Johnson","KAN06",5,45,192,1670,8.7,9,0.300000000000001
"43","Adrian Johnson","LOS03",7,57,192,1670,8.7,8.14,-0.559999999999999
"44","Adrian Johnson","MIA01",1,8,192,1670,8.7,8,-0.699999999999999
"45","Adrian Johnson","MIA02",2,18,192,1670,8.7,9,0.300000000000001
"46","Adrian Johnson","MIL06",6,52,192,1670,8.7,8.67,-0.0299999999999994
"47","Adrian Johnson","MIN04",10,103,192,1670,8.7,10.3,1.6
"48","Adrian Johnson","NYC20",8,61,192,1670,8.7,7.62,-1.08
"49","Adrian Johnson","NYC21",7,72,192,1670,8.7,10.29,1.59
"50","Adrian Johnson","OAK01",6,49,192,1670,8.7,8.17,-0.529999999999999
"51","Adrian Johnson","PHI13",6,32,192,1670,8.7,5.33,-3.37
"52","Adrian Johnson","PHO01",2,16,192,1670,8.7,8,-0.699999999999999
"53","Adrian Johnson","PIT08",7,43,192,1670,8.7,6.14,-2.56
"54","Adrian Johnson","SAN02",6,53,192,1670,8.7,8.83,0.130000000000001
"55","Adrian Johnson","SEA03",7,30,192,1670,8.7,4.29,-4.41
"56","Adrian Johnson","SFO03",4,38,192,1670,8.7,9.5,0.800000000000001
"57","Adrian Johnson","SJU01",1,13,192,1670,8.7,13,4.3
"58","Adrian Johnson","STL10",8,46,192,1670,8.7,5.75,-2.95
